Epoch 10	Local 15.639753341674805	Global -1.5638700723648071
Epoch 20	Local 15.624470710754395	Global -1.5812084674835205
Epoch 30	Local 15.617938041687012	Global -1.5871976613998413
Epoch 40	Local 15.627845764160156	Global -1.5819854736328125
Epoch 50	Local 15.615999221801758	Global -1.6017643213272095
Epoch 60	Local 15.65239429473877	Global -1.554851770401001
Epoch 70	Local 15.614883422851562	Global -1.595272421836853
Epoch 80	Local 15.613968849182129	Global -1.5987056493759155
Epoch 90	Local 15.601781845092773	Global -1.6131055355072021
Epoch 100	Local 15.583391189575195	Global -1.6243317127227783
Epoch 110	Local 15.565776824951172	Global -1.6505447626113892
Epoch 120	Local 15.579692840576172	Global -1.645129919052124
Epoch 130	Local 15.556154251098633	Global -1.6635688543319702
Epoch 140	Local 15.563116073608398	Global -1.6656783819198608
Epoch 150	Local 15.547239303588867	Global -1.6778472661972046
Epoch 160	Local 15.519020080566406	Global -1.7179702520370483
Epoch 170	Local 15.517837524414062	Global -1.718145489692688
Epoch 180	Local 15.476064682006836	Global -1.7705689668655396
Epoch 190	Local 15.44842529296875	Global -1.7956664562225342
Epoch 200	Local 15.409219741821289	Global -1.8284571170806885
Epoch 210	Local 15.394761085510254	Global -1.8598018884658813
Epoch 220	Local 15.31766128540039	Global -1.9566115140914917
Epoch 230	Local 15.264110565185547	Global -2.0142202377319336
Epoch 240	Local 15.174775123596191	Global -2.11942982673645
Epoch 250	Local 15.073433876037598	Global -2.2150020599365234
Epoch 260	Local 14.921271324157715	Global -2.3810601234436035
Epoch 270	Local 14.793581008911133	Global -2.53265643119812
Epoch 280	Local 14.675929069519043	Global -2.616745948791504
Epoch 290	Local 14.4132661819458	Global -2.8582005500793457
Epoch 300	Local 14.29001522064209	Global -2.9928066730499268
Epoch 310	Local 14.070047378540039	Global -3.1554532051086426
Epoch 320	Local 13.834746360778809	Global -3.3536181449890137
Epoch 330	Local 13.600666999816895	Global -3.504970073699951
Epoch 340	Local 13.283309936523438	Global -3.689704418182373
